Feature,English sig.,English Partial Eta Square,English F,Chinese sig.,Chinese Partial Eta Square,Chinese F,German sig.,German Partial Eta Square,German F
FORCE,***,.554,34.8,***,.682,60.11,***,.508,26.81
HAND,***,.375,16.8,***,.605,42.84,***,.202,6.325
